ELEMENT	Z	A1	B1	A2	B2	A3	B3	A4	B4	A5	B5	MPD	WPD	S
Tl	81	6.5803	69.9997	19.6010	4.6032	18.3955	0.7312	23.0433	0.1787	13.3134	0.0216	0.158	0.292	C
Pb	82	7.3754	62.4634	19.7974	4.2561	18.0002	0.7021	23.2605	0.1757	13.4943	0.0213	0.151	0.246	C
Bi	83	8.2324	53.0479	20.0183	3.9249	17.6603	0.6675	23.3250	0.1722	13.6777	0.0210	0.147	0.280	CM
Po	84	9.0662	48.3272	20.1395	3.6624	23.6273	0.1701	17.1872	0.6471	13.8913	0.0208	0.141	0.304	C
At	85	9.9223	43.7514	20.2544	3.4229	23.9015	0.1680	16.7271	0.6271	14.1028	0.0206	0.138	0.330	C
Rn	86	10.7789	38.6121	20.3926	3.2050	16.3720	0.6037	24.0637	0.1650	14.2879	0.0203	0.141	0.381	CM
Fr	87	2.5332	269.8780	11.5319	21.9610	24.7459	2.0716	31.9247	0.2243	16.2975	0.0223	0.105	0.379	CM
Ra	88	3.2259	321.6630	11.6694	20.3856	24.8687	1.9730	31.8957	0.2166	16.3306	0.0219	0.094	0.303	CM
Ac	89	3.6207	270.7740	12.1269	18.9025	24.9363	1.8811	31.8798	0.2095	16.4227	0.0215	0.091	0.257	C
Th	90	4.0181	232.3710	12.6119	17.3825	24.9621	1.7950	31.8646	0.2030	16.5249	0.0211	0.086	0.301	C
Pa	91	3.7926	236.8030	12.6626	17.5908	25.8795	1.7607	31.9403	0.1984	16.7045	0.0209	0.094	0.272	C
U	92	3.9051	221.1780	12.8415	16.8737	26.4298	1.7008	31.9514	0.1932	16.8475	0.0205	0.098	0.268	C
Np	93	4.0333	207.7270	12.9014	16.3175	26.7571	1.6677	31.4732	0.1954	17.8065	0.0220	0.095	0.208	C
Pu	94	4.2695	185.9550	12.5662	15.5936	28.0362	1.5914	31.9382	0.1834	17.1467	0.0200	0.113	0.241	C
Am	95	4.3981	174.3590	12.6808	14.9676	28.6781	1.5304	31.9085	0.1786	17.2883	0.0197	0.118	0.231	CM
No	102	4.7363	135.6760	14.1419	12.0550	32.9866	1.1972	31.6913	0.1510	18.3800	0.0180	0.141	0.272	CM
